PRODUCT_SHAPE_MOTIFF_CATEGORY,PRODUCT_SHAPE_MOTIFF_SUBCATEGORY
Occasions,Holiday
Occasions,Christmas
Occasions,Easter
Occasions,Fathers-Day
Occasions,Fourth-Of-July
Occasions,Halloween
Occasions,Hanukkah
Occasions,Kwanzaa
Occasions,Mothers-Day
Occasions,St-Patricks-Day
Occasions,Thanksgiving
Occasions,Valentines-Day
Occasions,Wedding
